VCD info: dumpfile waves.vcd opened for output.
time_ns	channel	data	(round-robin service log)
2470000	2	0
3070000	1	0
4130000	2	62
4530000	0	0
5290000	1	92
7010000	2	125
8250000	0	165
9430000	1	184
10150000	0	74
12050000	1	112
12450000	2	251
13510000	0	149
14790000	0	42
16910000	0	84
16950000	1	224
17830000	2	246
20690000	0	169
21210000	1	192
22770000	0	83
22950000	2	237
24210000	1	129
24710000	1	3
25270000	1	6
25890000	1	12
26550000	0	167
26830000	1	25
27770000	2	219
28250000	1	50
28490000	0	78
30690000	1	100
31870000	2	183
32090000	0	157
33670000	0	59
34510000	2	111
35110000	1	201
36490000	0	119
38450000	1	146
39330000	2	222
39570000	1	36
41450000	1	73
41630000	0	238
43550000	2	189
44810000	1	147
46030000	1	38
46430000	2	122
46470000	0	221
47950000	1	77
50650000	0	187
51470000	1	155
51750000	2	245
53010000	1	55
53430000	0	118
55630000	1	110
56870000	2	235
58590000	0	236
60430000	1	220
61550000	2	215
63330000	0	217
64570000	1	185
65450000	2	174
67250000	1	114
67310000	0	179
67730000	2	93
69810000	0	103
71910000	2	186
72270000	1	228
74370000	0	207
74610000	2	116
76650000	1	200
77970000	0	158
79610000	0	61
79670000	2	232
79970000	1	144
81010000	1	32
82450000	0	123
82730000	1	65
84270000	2	209
85770000	1	130
86270000	1	5
86890000	1	10
87750000	1	21
87810000	0	247
87930000	2	162
89010000	1	43
89710000	2	68
91150000	1	86
92870000	2	136
93030000	0	239
93630000	2	16
94670000	2	33
95030000	1	173
96450000	2	67
97290000	1	91
97890000	0	223
99570000	2	134
100250000	2	13
101170000	2	27
101350000	1	182
102130000	0	191
102670000	2	54
103930000	1	109
105070000	0	126
105250000	2	108
108730000	1	218
110030000	2	216
110550000	0	253
112750000	1	181
113990000	2	177
115310000	1	107
115970000	0	250
116390000	2	99
120050000	1	214
120750000	2	199
121270000	0	244
123890000	1	172
124050000	2	143
125090000	2	30
126110000	1	89
126350000	0	233
126710000	2	60
129550000	2	121
130090000	1	178
130990000	0	211
132530000	1	101
134750000	0	166
134810000	2	243
136710000	0	76
136990000	1	203
139850000	2	231
140190000	0	153
140410000	1	150
141610000	0	51
141710000	1	44
143890000	1	88
144070000	0	102
144370000	2	206
147850000	1	176
147950000	2	156
148590000	0	205
149490000	2	57
150210000	1	97
152070000	0	154
152190000	2	115
153550000	0	53
154490000	1	195
156110000	0	106
157250000	2	230
157610000	1	135
158350000	1	15
159390000	1	31
160770000	0	212
161050000	1	62
161750000	2	204
163970000	1	125
164570000	0	168
165170000	2	152
166570000	2	49
166610000	0	81
168950000	2	98
169430000	1	251
170270000	0	163
172090000	0	70
173350000	2	197
174730000	1	246
175330000	0	140
176190000	0	24
176550000	2	139
177410000	2	22
177570000	0	48
178710000	2	45
179910000	1	237
179970000	0	96
180930000	2	90
184210000	0	193
184730000	1	219
184950000	2	180
187270000	0	131
187450000	2	105
187790000	0	7
188530000	0	14
188810000	1	183
189530000	0	29
191110000	0	58
191450000	1	111
192090000	2	210
193870000	0	117
195790000	2	164
196270000	1	222
197630000	2	72
198930000	0	234
Simulation complete.
